Judul,Penerbit,Link,Tanggal Published
"Video: Teheran Bersorak, Warga Sambut Mojtaba Khamenei Jadi Pemimpin Baru",Detik,https://20.detik.com/detikupdate/20260309-260309007/video-teheran-bersorak-warga-sambut-mojtaba-khamenei-jadi-pemimpin-baru,09 Maret 2026
"Profil Mojtaba Khamenei, Pemimpin Tertinggi Iran yang Baru",Detik,https://www.detik.com/jogja/berita/d-8391081/profil-mojtaba-khamenei-pemimpin-tertinggi-iran-yang-baru,09 Maret 2026
Sosok Motjaba Hosseini Pengganti Ali Khamenei yang Tak Disukai Trump,Detik,https://www.detik.com/jabar/berita/d-8391533/sosok-motjaba-hosseini-pengganti-ali-khamenei-yang-tak-disukai-trump,09 Maret 2026
"Pendidikan dan Karier Mengajar Mojtaba Khamenei, Pemimpin Tertinggi Iran yang Baru",Detik,https://www.detik.com/edu/detikpedia/d-8391057/pendidikan-dan-karier-mengajar-mojtaba-khamenei-pemimpin-tertinggi-iran-yang-baru,09 Maret 2026
Senator AS Bilang Mojtaba Khamenei Akan Bernasib Sama Seperti Ayahnya,Detik,https://news.detik.com/internasional/d-8391085/senator-as-bilang-mojtaba-khamenei-akan-bernasib-sama-seperti-ayahnya,09 Maret 2026
Sosok Motjaba Hosseini Pengganti Ali Khamenei yang Tak Disukai Trump,Detik,https://www.detik.com/jabar/berita/d-8391533/sosok-motjaba-hosseini-pengganti-ali-khamenei-yang-tak-disukai-trump,09 Maret 2026
"Mojtaba Khamenei Jadi Pemimpin Tertinggi Iran, Trump Tak Senang",Detik,https://news.detik.com/internasional/d-8391026/mojtaba-khamenei-jadi-pemimpin-tertinggi-iran-trump-tak-senang,09 Maret 2026
PM Israel Klaim Punya 'Banyak Kejutan' untuk Goyahkan Rezim Iran,Detik,https://www.detik.com/jateng/berita/d-8391060/pm-israel-klaim-punya-banyak-kejutan-untuk-goyahkan-rezim-iran,09 Maret 2026
"Sosok Mojtaba Khamenei, Pemimpin Tertinggi Baru Iran yang Harus Dibenci Musuh",Detik,https://www.detik.com/bali/berita/d-8391099/sosok-mojtaba-khamenei-pemimpin-tertinggi-baru-iran-yang-harus-dibenci-musuh,09 Maret 2026
"Netanyahu Bersumpah Lanjutkan Perang, Bilang Punya 'Kejutan' untuk Iran",Detik,https://news.detik.com/internasional/d-8390896/netanyahu-bersumpah-lanjutkan-perang-bilang-punya-kejutan-untuk-iran,09 Maret 2026
