Judul,Penerbit,Kategori,Link,Tanggal Published
"Ali Khamenei Tewas, Akankah Perang Iran vs Israel-AS Berakhir?",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/120000865/ali-khamenei-tewas-akankah-perang-iran-vs-israel-as-berakhir-,1 Maret 2026
"Ali Khamenei Tewas, Iran Berpotensi Mundur dari Piala Dunia 2026",Kompas,Bola,https://bola.kompas.com/read/2026/03/01/11552768/ali-khamenei-tewas-iran-berpotensi-mundur-dari-piala-dunia-2026,1 Maret 2026
Ali Khamenei untuk Pertama Kalinya Mengonfirmasi Iran Persenjatai Pejuang Palestina,Kompas,Global,https://www.kompas.com/global/read/2020/05/22/205602470/ali-khamenei-untuk-pertama-kalinya-mengonfirmasi-iran-persenjatai-pejuang,22 Mei 2020
INFOGRAFIK: Muncul Hoaks Wapres Gibran Pernah Bertemu Ayatollah Ali Khamenei,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/31/175100182/infografik--muncul-hoaks-wapres-gibran-pernah-bertemu-ayatollah-ali,31 Maret 2026
Ayatollah Ali Khamenei: Iran Tidak Akan Tunduk pada Amerika Serikat,Kompas,Global,https://www.kompas.com/global/read/2025/08/24/195153170/ayatollah-ali-khamenei-iran-tidak-akan-tunduk-pada-amerika-serikat,24 Agustus 2025
Putra Mahkota Saudi Sebut Ayatollah Ali Khamenei sebagai Hitler Baru,Kompas,News,https://internasional.kompas.com/read/2017/11/24/19043941/putra-mahkota-saudi-sebut-ayatollah-ali-khamenei-sebagai-hitler-baru,24 November 2017
[KLARIFIKASI] Video Prosesi Pemakaman Ali Khamenei Ini adalah Rekayasa AI,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/04/143200282/-klarifikasi-video-prosesi-pemakaman-ali-khamenei-ini-adalah-rekayasa,4 Maret 2026
[KLARIFIKASI] Foto Ini Bukan Jenazah Ali Khamenei di Rumah Sakit,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/03/142800082/-klarifikasi-foto-ini-bukan-jenazah-ali-khamenei-di-rumah-sakit,3 Maret 2026
Istri Ali Khamenei Meninggal dalam Serangan AS-Israel di Iran,Kompas,Global,https://internasional.kompas.com/read/2026/03/02/205854770/istri-ali-khamenei-meninggal-dalam-serangan-as-israel-di-iran,2 Maret 2026
[KLARIFIKASI] Konten AI Tampilkan Video Ledakan di Rumah Ali Khamenei,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/09/100100582/-klarifikasi-konten-ai-tampilkan-video-ledakan-di-rumah-ali-khamenei,9 Maret 2026
